Breed;Age_in_years;Age_in_months;Gender;Neutered_or_spayed;Body_length;Weight;Fur_colour_dominant;Fur_pattern;Eye_colour;Allowed_outdoor;Preferred_food;Owner_play_time_minutes;Sleep_time_hours;Country;Latitude;Longitude
Angora;1;12;male;FALSE;31;3.5;white;solid;blue;TRUE;wet;42;14;France;43.296482;5.36978
Angora;1;12;male;TRUE;35;3.9;white;solid;amber;FALSE;wet;41;17;France;45.76342;4.834277
Angora;4.33;52;male;FALSE;25;4;white;solid;blue;FALSE;dry;36;14;France;44.837789;-0.57918
Angora;1.17;14;female;FALSE;34;3.8;white;solid;blue;TRUE;wet;23;17;France;48.864716;2.349014
Angora;3;36;male;TRUE;38;5;white;solid;amber;FALSE;wet;16;14;France;43.296482;5.36978
Angora;1.17;14;female;TRUE;25;3;white;solid;amber;FALSE;wet;19;17;France;45.76342;4.834277
Angora;4;48;male;TRUE;39;4.6;white;solid;amber;FALSE;wet;33;14;France;45.76342;4.834277
Angora;5.83;70;male;TRUE;37;4.6;black;solid;green;TRUE;dry;9;16;France;48.864716;2.349014
Angora;1.25;15;female;TRUE;26;3.4;white;solid;blue;FALSE;wet;25;15;France;43.296482;5.36978
Angora;5.33;64;male;TRUE;44;4.6;white;solid;blue;TRUE;wet;20;16;France;44.837789;-0.57918
Angora;1.25;15;male;TRUE;40;3.8;red/cream;tabby;blue;FALSE;wet;35;17;France;45.76342;4.834277
Angora;4.92;59;male;FALSE;41;5;black;solid;green;FALSE;dry;31;14;France;47.218371;-1.553621
Angora;1.5;18;male;FALSE;40;3.6;white;solid;blue;FALSE;wet;27;14;France;43.296482;5.36978
Angora;1.58;19;female;TRUE;33;3.5;white;solid;amber;FALSE;dry;18;18;France;48.864716;2.349014
Angora;1.58;19;female;TRUE;33;3.2;white;solid;amber;TRUE;wet;12;19;France;48.864716;2.349014
Angora;4.5;54;male;TRUE;37;5.6;white;solid;blue;FALSE;wet;9;14;France;47.218371;-1.553621
Angora;4.75;57;male;FALSE;41;4.2;black;solid;blue;TRUE;dry;19;14;France;44.837789;-0.57918
Angora;1.67;20;female;TRUE;35;5;white;solid;amber;FALSE;wet;10;15;France;45.76342;4.834277
Angora;1.67;20;male;TRUE;28;3.1;white;solid;amber;TRUE;wet;39;18;France;43.296482;5.36978
Angora;1.67;20;male;FALSE;36;3.9;black;solid;green;FALSE;wet;35;19;France;43.61166;3.87771
Angora;1.75;21;female;TRUE;28;4.9;white;solid;amber;FALSE;wet;10;17;France;48.864716;2.349014
Angora;1.75;21;female;TRUE;34;4.7;black;solid;blue;FALSE;dry;23;19;France;45.76342;4.834277
Angora;1.75;21;female;FALSE;34;4;white;solid;blue;TRUE;wet;25;20;France;44.837789;-0.57918
Angora;1.83;22;female;TRUE;22;2.9;black;solid;green;FALSE;wet;40;20;France;44.837789;-0.57918
Angora;1.83;22;male;FALSE;41;4.7;white;solid;blue;FALSE;dry;45;20;France;43.61166;3.87771
Angora;1.83;22;female;TRUE;24;4.3;black;bicolor;amber;TRUE;wet;30;16;France;48.864716;2.349014
Angora;1.92;23;female;FALSE;35;2.7;white;solid;amber;FALSE;dry;21;18;France;43.61166;3.87771
Angora;1.92;23;female;TRUE;33;3.4;white;solid;amber;FALSE;wet;14;16;France;44.837789;-0.57918
Angora;2;24;female;FALSE;32;2.4;black;solid;green;FALSE;wet;11;14;France;47.218371;-1.553621
Angora;2;24;female;TRUE;35;3.8;white;solid;blue;FALSE;wet;15;14;France;48.864716;2.349014
Angora;2;24;male;TRUE;38;3.7;white;solid;blue;TRUE;dry;23;16;France;44.837789;-0.57918
Angora;2.08;25;female;FALSE;33;2.9;white;solid;amber;FALSE;wet;36;14;France;48.864716;2.349014
Angora;2.08;25;male;FALSE;41;4.1;black;solid;green;FALSE;wet;11;16;France;48.864716;2.349014
Angora;2.17;26;female;TRUE;35;2.6;white;solid;blue;FALSE;wet;28;17;France;48.864716;2.349014
Angora;2.25;27;male;FALSE;38;4.6;red/cream;tabby;blue;FALSE;wet;11;14;France;44.837789;-0.57918
Angora;2.25;27;female;FALSE;34;3.7;black;solid;green;FALSE;wet;10;14;France;43.61166;3.87771
Angora;2.25;27;male;TRUE;25;3.1;white;solid;amber;FALSE;wet;39;16;France;47.218371;-1.553621
Angora;2.25;27;male;TRUE;38;5.3;white;solid;amber;FALSE;wet;39;14;France;48.864716;2.349014
Angora;2.33;28;female;FALSE;36;4;red/cream;solid;blue;FALSE;dry;19;14;France;47.218371;-1.553621
Angora;2.33;28;female;FALSE;36;2.4;white;solid;blue;FALSE;wet;19;16;France;45.76342;4.834277
Angora;2.33;28;male;TRUE;39;3.9;white;solid;blue;FALSE;wet;34;14;France;45.76342;4.834277
Angora;2.33;28;female;TRUE;36;3.3;white;solid;amber;FALSE;dry;32;17;France;45.76342;4.834277
Angora;2.33;28;female;TRUE;39;2.7;black;solid;green;TRUE;dry;33;14;France;43.296482;5.36978
Angora;2.42;29;male;FALSE;39;4.3;white;solid;blue;FALSE;wet;37;14;France;48.864716;2.349014
Angora;2.5;30;female;TRUE;35;3.6;white;solid;green;FALSE;wet;18;14;France;44.837789;-0.57918
Angora;2.5;30;male;FALSE;37;4.7;white;solid;amber;FALSE;wet;44;16;France;44.837789;-0.57918
Angora;2.58;31;male;TRUE;40;4.5;red/cream;solid;blue;FALSE;wet;38;14;France;48.864716;2.349014
Angora;2.58;31;female;FALSE;32;3;white;solid;blue;FALSE;dry;30;16;France;44.837789;-0.57918
Angora;2.67;32;female;TRUE;38;3.9;red/cream;solid;blue;FALSE;wet;37;14;France;44.837789;-0.57918
Angora;2.67;32;male;FALSE;40;4;black;solid;blue;FALSE;dry;30;14;France;43.296482;5.36978
Angora;2.67;32;female;TRUE;34;3.9;black;solid;green;TRUE;dry;21;14;France;45.76342;4.834277
Angora;2.92;35;female;TRUE;34;4.1;white;solid;green;TRUE;wet;28;14;France;43.296482;5.36978
Angora;2.92;35;female;TRUE;32;2.5;white;solid;amber;FALSE;wet;33;14;France;48.864716;2.349014
Angora;2.92;35;male;TRUE;41;3.8;white;solid;amber;FALSE;wet;21;14;USA;40.71427;-74.00597
Angora;2.92;35;male;FALSE;39;4.1;white;solid;blue;FALSE;wet;28;14;USA;40.71427;-74.00597
Angora;3;36;male;TRUE;39;4.4;white;solid;green;FALSE;dry;16;15;USA;40.71427;-74.00597
Angora;3;36;male;FALSE;39;4.8;white;solid;blue;FALSE;wet;44;14;USA;37.77493;-122.41942
Angora;3.08;37;male;TRUE;39;5.1;red/cream;tabby;blue;FALSE;dry;25;16;USA;47.60621;-122.33207
Angora;3.08;37;male;TRUE;38;3.7;black;solid;green;TRUE;wet;25;14;USA;47.60621;-122.33207
Angora;3.08;37;male;TRUE;40;5.3;white;solid;blue;FALSE;dry;11;14;France;44.837789;-0.57918
Angora;3.17;38;female;FALSE;36;4;white;solid;amber;FALSE;wet;11;14;USA;40.71427;-74.00597
Angora;3.25;39;male;FALSE;40;4.5;black;bicolor;blue;FALSE;wet;12;16;USA;47.60621;-122.33207
Angora;3.42;41;male;TRUE;41;4.4;white;solid;amber;FALSE;dry;24;17;USA;45.52345;-122.67621
Angora;3.5;42;male;TRUE;39;4.8;black;solid;blue;FALSE;wet;15;16;USA;45.52345;-122.67621
Angora;3.5;42;male;TRUE;40;3.9;white;solid;green;TRUE;dry;13;16;USA;47.60621;-122.33207
Angora;3.5;42;female;FALSE;33;4.3;white;solid;amber;FALSE;dry;37;14;USA;41.881832;-87.623177
Angora;3.58;43;female;TRUE;35;3.4;white;solid;blue;FALSE;dry;23;16;France;48.864716;2.349014
Angora;3.58;43;female;TRUE;34;3.3;white;solid;blue;FALSE;wet;20;14;USA;41.881832;-87.623177
Angora;3.67;44;male;FALSE;39;4.5;white;solid;amber;FALSE;wet;23;14;USA;47.60621;-122.33207
Angora;3.67;44;male;FALSE;37;4.6;white;solid;amber;FALSE;wet;32;14;France;43.61166;3.87771
Angora;3.67;44;male;TRUE;37;4.2;white;solid;blue;FALSE;wet;33;14;USA;37.77493;-122.41942
Angora;3.75;45;male;TRUE;43;3.9;white;solid;blue;FALSE;wet;38;14;USA;39.29038;-76.61219
Angora;3.83;46;male;FALSE;37;4.1;white;solid;green;FALSE;wet;38;16;USA;38.89511;-77.03637
Angora;3.83;46;male;TRUE;40;4.8;black;bicolor;amber;TRUE;wet;11;15;USA;40.71427;-74.00597
Angora;3.83;46;male;FALSE;39;4;red/cream;tabby;blue;FALSE;dry;18;14;France;47.218371;-1.553621
Angora;3.92;47;female;TRUE;34;4.7;white;solid;amber;FALSE;dry;25;14;USA;40.71427;-74.00597
Angora;3.92;47;female;TRUE;37;3.3;black;solid;amber;FALSE;dry;25;15;USA;42.35843;-71.05977
Angora;3.92;47;female;TRUE;35;2.8;white;solid;blue;FALSE;wet;28;14;USA;38.89511;-77.03637
Angora;3.92;47;male;FALSE;39;4.4;white;solid;blue;FALSE;wet;23;15;USA;41.881832;-87.623177
Angora;4;48;male;TRUE;36;4.8;white;solid;green;FALSE;wet;28;17;USA;38.89511;-77.03637
Angora;4.08;49;male;FALSE;37;4.8;white;solid;green;FALSE;wet;38;14;USA;39.29038;-76.61219
Angora;4.08;49;female;FALSE;35;4.7;white;solid;blue;FALSE;wet;11;14;USA;40.71427;-74.00597
Angora;4.08;49;male;TRUE;37;5.6;white;solid;blue;FALSE;wet;12;14;USA;42.35843;-71.05977
Angora;4.17;50;female;TRUE;37;3.8;white;solid;amber;FALSE;dry;23;14;USA;42.35843;-71.05977
Angora;4.17;50;male;FALSE;41;4.5;white;solid;amber;FALSE;wet;24;16;USA;38.89511;-77.03637
Angora;4.17;50;female;TRUE;35;2.8;white;solid;amber;TRUE;dry;28;14;USA;45.52345;-122.67621
Angora;4.25;51;male;TRUE;37;4.6;white;solid;amber;FALSE;dry;36;14;France;45.76342;4.834277
Angora;4.33;52;female;TRUE;34;4.3;white;solid;blue;FALSE;wet;37;16;USA;42.35843;-71.05977
Angora;4.33;52;female;TRUE;35;3.8;black;solid;amber;FALSE;wet;30;14;USA;45.52345;-122.67621
Angora;4.33;52;female;TRUE;32;2.4;white;solid;blue;FALSE;wet;40;14;USA;47.60621;-122.33207
Angora;4.42;53;male;FALSE;39;4.4;white;solid;blue;FALSE;wet;34;16;USA;38.89511;-77.03637
Angora;4.5;54;male;TRUE;41;5.1;white;solid;amber;FALSE;dry;19;14;USA;40.71427;-74.00597
Angora;4.5;54;male;FALSE;39;4.3;white;solid;blue;FALSE;wet;39;16;USA;37.77493;-122.41942
Angora;4.58;55;female;FALSE;35;3.4;white;solid;blue;FALSE;wet;36;14;USA;40.71427;-74.00597
Angora;4.58;55;female;TRUE;37;2.5;white;solid;amber;TRUE;wet;39;17;USA;38.89511;-77.03637
Angora;4.58;55;male;FALSE;35;4.3;white;solid;amber;FALSE;dry;36;17;USA;38.89511;-77.03637
Angora;4.58;55;female;TRUE;37;3.4;white;solid;amber;FALSE;dry;24;14;USA;38.89511;-77.03637
Angora;4.58;55;male;TRUE;38;5.1;red/cream;solid;blue;FALSE;wet;17;14;USA;38.89511;-77.03637
Angora;4.75;57;female;FALSE;38;3.9;white;solid;amber;FALSE;wet;14;16;USA;40.71427;-74.00597
Angora;4.75;57;female;TRUE;38;3.1;white;solid;amber;FALSE;dry;23;14;USA;38.89511;-77.03637
Angora;4.75;57;male;FALSE;37;4;white;solid;blue;FALSE;dry;32;16;USA;40.71427;-74.00597
Angora;4.83;58;male;TRUE;40;4.5;white;solid;amber;FALSE;wet;18;14;USA;37.77493;-122.41942
Angora;4.83;58;female;TRUE;37;3;white;solid;amber;FALSE;wet;20;14;France;43.296482;5.36978
Angora;4.83;58;male;FALSE;36;3.7;white;solid;blue;FALSE;wet;32;17;USA;38.89511;-77.03637
Angora;4.92;59;male;TRUE;36;4.4;white;solid;green;FALSE;dry;29;16;USA;40.71427;-74.00597
Angora;4.92;59;male;FALSE;41;4.9;white;solid;amber;FALSE;wet;14;14;USA;38.89511;-77.03637
Angora;4.92;59;male;TRUE;40;4;red/cream;tabby;amber;TRUE;wet;31;14;USA;40.71427;-74.00597
Angora;4.92;59;female;TRUE;38;4.6;white;solid;blue;FALSE;wet;28;17;USA;41.881832;-87.623177
Angora;5;60;female;TRUE;39;4.7;white;solid;blue;FALSE;dry;32;14;USA;40.71427;-74.00597
Angora;5;60;male;TRUE;37;5.2;white;solid;amber;FALSE;dry;29;14;USA;45.52345;-122.67621
Angora;5.08;61;male;TRUE;40;4.7;white;solid;amber;FALSE;wet;31;14;USA;42.35843;-71.05977
Angora;5.08;61;female;FALSE;39;3.4;white;solid;blue;FALSE;wet;27;16;USA;42.35843;-71.05977
Angora;5.08;61;female;TRUE;37;3.1;white;solid;blue;FALSE;dry;29;14;USA;40.71427;-74.00597
Angora;5.17;62;female;FALSE;39;3.9;white;solid;blue;FALSE;dry;35;17;Germany;50.110924;8.682127
Angora;5.17;62;female;TRUE;34;3.4;white;solid;green;FALSE;dry;9;14;Germany;52.520008;13.404954
Angora;5.17;62;female;TRUE;38;3.9;white;solid;green;TRUE;wet;9;14;Germany;48.137154;11.576124
Angora;5.17;62;female;FALSE;38;2.7;white;solid;amber;FALSE;wet;27;14;Germany;48.137154;11.576124
Angora;5.17;62;male;TRUE;36;4.3;white;solid;amber;FALSE;wet;19;14;Germany;48.137154;11.576124
Angora;5.17;62;male;TRUE;40;4.9;white;solid;blue;FALSE;wet;39;14;Germany;50.110924;8.682127
Angora;5.17;62;male;FALSE;36;3.5;white;solid;blue;FALSE;wet;37;14;Germany;52.520008;13.404954
Angora;5.17;62;female;FALSE;39;4.1;white;solid;blue;FALSE;wet;17;16;Germany;50.110924;8.682127
Angora;5.25;63;female;TRUE;31;2.4;white;solid;blue;FALSE;wet;29;16;Germany;48.137154;11.576124
Angora;5.25;63;female;FALSE;37;3.1;white;solid;blue;FALSE;dry;23;14;Germany;52.520008;13.404954
Angora;5.33;64;female;TRUE;35;3.4;white;solid;blue;FALSE;dry;26;14;Germany;50.110924;8.682127
Angora;5.33;64;male;FALSE;36;4.5;white;solid;blue;FALSE;wet;9;14;Germany;52.520008;13.404954
Angora;5.33;64;female;TRUE;37;2.9;white;solid;blue;TRUE;dry;16;14;Germany;48.137154;11.576124
Angora;5.42;65;male;TRUE;38;4.3;black;solid;amber;FALSE;wet;23;17;Germany;50.110924;8.682127
Angora;5.42;65;female;FALSE;39;4.1;white;solid;blue;FALSE;wet;27;17;Germany;51.227741;6.773456
Angora;5.5;66;male;TRUE;40;5.2;white;solid;green;FALSE;dry;17;14;Germany;52.520008;13.404954
Angora;5.58;67;male;FALSE;40;4.4;black;solid;blue;FALSE;wet;27;14;Germany;52.520008;13.404954
Angora;5.67;68;male;TRUE;39;5.5;white;solid;blue;FALSE;wet;12;14;Germany;52.520008;13.404954
Angora;5.67;68;male;FALSE;41;4.3;white;solid;blue;FALSE;dry;24;14;Germany;50.110924;8.682127
Angora;5.67;68;male;TRUE;36;5.1;white;solid;green;FALSE;dry;37;14;Germany;52.520008;13.404954
Angora;5.67;68;male;TRUE;37;5.3;red/cream;tabby;blue;FALSE;wet;37;15;Germany;51.227741;6.773456
Angora;5.75;69;male;FALSE;39;4.4;white;solid;amber;FALSE;dry;39;15;Germany;50.110924;8.682127
Angora;5.75;69;female;TRUE;38;4.4;black;bicolor;amber;FALSE;dry;18;14;USA;42.35843;-71.05977
Angora;5.75;69;female;TRUE;38;3.2;white;solid;amber;TRUE;wet;25;15;USA;42.35843;-71.05977
Angora;5.75;69;female;TRUE;31;3.1;white;solid;blue;FALSE;wet;9;15;USA;40.71427;-74.00597
Angora;5.92;71;female;TRUE;39;4.8;white;solid;green;FALSE;wet;12;16;USA;42.35843;-71.05977
Angora;5.92;71;male;FALSE;38;4.3;white;solid;green;FALSE;dry;26;13;USA;40.71427;-74.00597
Angora;5.92;71;male;TRUE;41;3.9;white;solid;amber;FALSE;wet;29;13;USA;42.35843;-71.05977
Angora;5.92;71;female;TRUE;36;4.7;white;solid;amber;FALSE;dry;29;16;USA;40.71427;-74.00597
Angora;6;72;male;FALSE;36;4.8;white;solid;blue;FALSE;wet;33;17;USA;40.71427;-74.00597
Angora;6;72;female;FALSE;36;3.6;white;solid;green;FALSE;dry;26;13;France;45.76342;4.834277
Angora;6.08;73;male;TRUE;38;4.4;white;solid;blue;FALSE;wet;16;14;USA;37.77493;-122.41942
Angora;6.08;73;female;TRUE;38;3.4;white;solid;blue;FALSE;wet;38;16;USA;38.89511;-77.03637
Angora;6.08;73;male;FALSE;41;3.7;white;solid;blue;FALSE;dry;39;16;USA;40.71427;-74.00597
Angora;6.25;75;male;FALSE;39;4.2;white;solid;blue;FALSE;wet;24;13;USA;37.77493;-122.41942
Angora;6.25;75;male;FALSE;38;3.6;white;solid;amber;FALSE;wet;23;16;France;43.61166;3.87771
Angora;6.25;75;male;FALSE;41;4.4;white;solid;amber;FALSE;wet;24;13;USA;39.29038;-76.61219
Angora;6.33;76;female;FALSE;37;3.1;white;solid;green;FALSE;dry;30;13;USA;40.71427;-74.00597
Angora;6.42;77;male;TRUE;36;4.7;white;solid;amber;FALSE;wet;12;16;USA;41.881832;-87.623177
Angora;6.5;78;female;TRUE;37;4.5;red/cream;solid;blue;FALSE;wet;30;17;USA;47.60621;-122.33207
Angora;6.5;78;male;TRUE;36;4;white;solid;blue;TRUE;dry;18;16;USA;41.881832;-87.623177
Angora;6.5;78;male;FALSE;39;4.2;black;bicolor;amber;FALSE;wet;15;17;USA;47.60621;-122.33207
Angora;6.5;78;female;FALSE;34;3.8;white;solid;blue;FALSE;wet;21;14;USA;42.35843;-71.05977
Angora;6.5;78;female;TRUE;38;5.2;white;solid;blue;FALSE;wet;9;13;USA;40.71427;-74.00597
Angora;6.58;79;male;FALSE;40;4.2;red/cream;tabby;blue;FALSE;wet;12;14;USA;39.29038;-76.61219
Angora;6.58;79;male;TRUE;41;3.8;red/cream;tabby;green;FALSE;dry;23;16;USA;40.71427;-74.00597
Angora;6.58;79;male;FALSE;41;3.9;white;solid;amber;FALSE;dry;16;17;Canada;43.65107;-79.347015
Angora;6.67;80;male;TRUE;40;4.8;white;solid;blue;FALSE;dry;13;14;Canada;51.049999;-114.066666
Angora;6.67;80;female;FALSE;34;2.2;white;solid;amber;FALSE;dry;34;17;Canada;43.65107;-79.347015
Angora;6.75;81;female;FALSE;37;2.4;white;solid;blue;FALSE;dry;16;14;Canada;45.42153;-75.697193
Angora;6.75;81;male;TRUE;39;4.4;white;solid;amber;FALSE;dry;24;14;Canada;49.246292;-123.116226
Angora;6.75;81;male;TRUE;40;4.5;white;solid;blue;TRUE;wet;17;14;Canada;43.65107;-79.347015
Angora;6.83;82;female;FALSE;37;2.8;white;solid;amber;FALSE;dry;36;14;Canada;45.508888;-73.561668
Angora;6.92;83;male;TRUE;41;4.7;white;solid;blue;FALSE;wet;26;14;Canada;43.65107;-79.347015
Angora;6.92;83;male;TRUE;38;4.5;white;solid;amber;FALSE;wet;32;16;Canada;45.508888;-73.561668
Angora;6.92;83;female;TRUE;39;4.3;white;solid;amber;FALSE;wet;22;14;Canada;49.246292;-123.116226
Angora;7;84;male;TRUE;40;4.7;white;solid;blue;TRUE;dry;20;14;Canada;49.246292;-123.116226
Angora;7;84;male;TRUE;39;4.4;white;solid;amber;FALSE;dry;16;14;Canada;51.049999;-114.066666
Angora;7.08;85;female;FALSE;35;2.5;white;solid;blue;FALSE;wet;27;14;Canada;45.42153;-75.697193
Angora;7.17;86;male;TRUE;40;5.4;white;solid;amber;FALSE;wet;9;20;Canada;49.246292;-123.116226
Angora;7.25;87;male;FALSE;39;4;white;solid;green;FALSE;wet;37;20;Canada;49.246292;-123.116226
Angora;7.25;87;male;TRUE;36;4.9;white;solid;amber;FALSE;dry;29;19;Canada;45.508888;-73.561668
Angora;7.25;87;male;FALSE;38;4.4;white;solid;amber;FALSE;wet;27;16;Canada;49.246292;-123.116226
Angora;7.25;87;female;FALSE;33;4;black;bicolor;amber;FALSE;dry;16;14;Canada;51.049999;-114.066666
Angora;7.25;87;male;FALSE;40;4.2;white;solid;blue;FALSE;dry;17;19;Canada;51.049999;-114.066666
Angora;7.25;87;male;TRUE;40;5.4;red/cream;tabby;blue;FALSE;wet;12;20;USA;47.60621;-122.33207
Angora;7.25;87;female;TRUE;33;2.5;white;solid;blue;FALSE;dry;23;18;USA;38.89511;-77.03637
Angora;7.33;88;male;FALSE;41;3.9;black;bicolor;blue;FALSE;dry;27;14;USA;37.77493;-122.41942
Angora;7.42;89;female;TRUE;35;3.9;white;solid;blue;TRUE;dry;25;19;USA;42.35843;-71.05977
Angora;7.42;89;female;TRUE;34;3.3;white;solid;amber;FALSE;wet;32;14;USA;40.71427;-74.00597
Angora;7.58;91;male;TRUE;39;5.4;white;solid;amber;FALSE;wet;5;14;USA;40.71427;-74.00597
Angora;7.58;91;male;TRUE;40;5.5;red/cream;tabby;blue;FALSE;dry;14;14;USA;38.89511;-77.03637
Angora;7.67;92;male;FALSE;36;4.9;white;solid;blue;FALSE;dry;31;18;USA;38.89511;-77.03637
Angora;7.67;92;male;TRUE;40;5.3;black;solid;blue;FALSE;dry;39;18;USA;40.71427;-74.00597
Angora;7.75;93;female;TRUE;33;3.1;white;solid;blue;TRUE;wet;26;18;USA;38.89511;-77.03637
Angora;7.75;93;male;TRUE;42;4.7;white;solid;green;FALSE;wet;16;14;USA;45.52345;-122.67621
Angora;7.75;93;female;FALSE;37;2.8;white;solid;green;FALSE;dry;28;18;USA;47.60621;-122.33207
Angora;7.75;93;male;TRUE;37;4.2;white;solid;blue;FALSE;wet;15;18;USA;38.89511;-77.03637
Angora;7.75;93;male;FALSE;41;3.8;black;solid;blue;FALSE;wet;30;20;USA;40.71427;-74.00597
Angora;7.83;94;male;FALSE;37;3.5;white;solid;amber;FALSE;wet;25;14;USA;42.35843;-71.05977
Angora;7.83;94;male;TRUE;38;4.6;white;solid;amber;FALSE;wet;37;14;USA;40.71427;-74.00597
Angora;7.83;94;male;TRUE;38;4;white;solid;amber;FALSE;dry;27;16;USA;39.29038;-76.61219
Angora;7.83;94;male;TRUE;40;5.3;white;solid;amber;FALSE;wet;25;18;USA;38.89511;-77.03637
Angora;7.83;94;female;TRUE;33;4;white;bicolor;blue;TRUE;wet;10;16;USA;42.35843;-71.05977
Angora;7.83;94;male;FALSE;40;4.3;white;solid;blue;FALSE;wet;25;18;USA;42.35843;-71.05977
Angora;7.83;94;male;TRUE;39;5;red/cream;solid;blue;FALSE;wet;24;16;USA;40.71427;-74.00597
Angora;7.92;95;male;TRUE;39;3.8;white;solid;amber;FALSE;wet;32;19;USA;37.77493;-122.41942
Angora;8;96;female;FALSE;37;3.4;black;bicolor;blue;FALSE;wet;29;17;USA;42.35843;-71.05977
Angora;8;96;male;FALSE;36;4.5;white;solid;green;FALSE;dry;28;16;USA;45.52345;-122.67621
Angora;8;96;female;TRUE;34;4.9;white;solid;amber;FALSE;wet;17;19;USA;40.71427;-74.00597
Angora;7.17;86;male;FALSE;36;3.5;red/cream;solid;blue;FALSE;dry;29;20;USA;38.89511;-77.03637
Angora;8.08;97;female;FALSE;33;3.1;white;solid;amber;FALSE;wet;18;19;USA;40.71427;-74.00597
Angora;8.08;97;male;TRUE;41;4.2;black;bicolor;amber;TRUE;wet;9;18;USA;42.35843;-71.05977
Angora;8.08;97;male;TRUE;37;3.8;red/cream;tabby;blue;FALSE;wet;27;16;USA;41.881832;-87.623177
Angora;4;48;female;TRUE;36;2.4;white;solid;blue;TRUE;wet;14;14;USA;37.77493;-122.41942
Angora;8.25;99;female;TRUE;34;3.6;white;solid;amber;FALSE;wet;25;19;USA;39.29038;-76.61219
Angora;4.17;50;female;FALSE;35;2.8;white;solid;blue;FALSE;dry;20;14;USA;45.52345;-122.67621
Angora;5.08;61;female;FALSE;36;2.3;white;solid;blue;FALSE;dry;16;16;USA;45.52345;-122.67621
Angora;4.58;55;female;TRUE;35;2.8;white;solid;amber;FALSE;dry;25;17;USA;38.89511;-77.03637
Angora;8.5;102;male;FALSE;40;4;white;solid;blue;FALSE;dry;18;14;USA;45.52345;-122.67621
Angora;7.08;85;male;TRUE;36;4.8;black;bicolor;blue;TRUE;wet;9;16;USA;40.71427;-74.00597
Angora;7;84;female;FALSE;33;3;white;solid;blue;FALSE;dry;34;14;USA;47.60621;-122.33207
Angora;8.58;103;male;FALSE;39;4.4;white;solid;amber;FALSE;wet;18;16;USA;42.35843;-71.05977
Angora;7.17;86;female;FALSE;38;4.6;white;solid;blue;FALSE;wet;21;14;USA;47.60621;-122.33207
Angora;8.58;103;male;TRUE;52;5;red/cream;solid;blue;FALSE;wet;30;16;USA;38.89511;-77.03637
Angora;8.67;104;female;TRUE;35;4.1;white;solid;amber;FALSE;dry;15;16;USA;40.71427;-74.00597
Angora;4.75;57;female;TRUE;34;2.7;white;solid;blue;TRUE;wet;22;14;USA;47.60621;-122.33207
Angora;6.83;82;female;TRUE;36;3.6;white;solid;blue;FALSE;wet;32;17;USA;42.35843;-71.05977
Angora;7.5;90;female;FALSE;36;3.5;white;solid;green;FALSE;wet;16;14;USA;38.89511;-77.03637
Angora;7.58;91;male;FALSE;36;3.6;white;solid;blue;FALSE;wet;39;18;USA;41.881832;-87.623177
Angora;8.92;107;female;TRUE;34;4.5;black;bicolor;amber;FALSE;dry;13;19;USA;40.71427;-74.00597
Angora;6.75;81;female;FALSE;33;2.9;white;solid;green;FALSE;wet;20;16;USA;45.52345;-122.67621
Angora;9;108;female;TRUE;38;3.7;white;solid;amber;TRUE;dry;6;17;USA;38.89511;-77.03637
